# Created by Octave 4.0.3, Wed Jul 26 09:24:31 2017 CEST <timo@timo-Lenovo-ideapad-100-14IBY>
# name: ediff
# type: matrix
# rows: 100
# columns: 2
 0.1 0.049976566166682
 0.2 0.0998126177718337
 0.3 0.1493680873421011
 0.4 0.1985038241755568
 0.5 0.2470821080608125
 0.6 0.2949672261315954
 0.7000000000000001 0.3420261283771371
 0.8 0.3881291724665603
 0.9 0.4331509624019381
 1 0.476971278178743
 1.1 0.5194760853266858
 1.2 0.5605586043201813
 1.3 0.6001204109632496
 1.4 0.6380725307152995
 1.5 0.6743364833952685
 1.6 0.708845230664465
 1.7 0.741543977913345
 1.8 0.7723907851813729
 1.9 0.8013569486513115
 2 0.8284271247461974
 2.1 0.8535991821082369
 2.2 0.8768837815549622
 2.3 0.8983036990561293
 2.4 0.9178929204013375
 2.5 0.9356955472717936
 2.6 0.9517645619987321
 2.7 0.9661605019654518
 2.8 0.9789500944524292
 2.9 0.9902048992161079
 3 0.9999999999999982
 3.1 1.008412778413748
 3.2 1.015521795093578
 3.3 1.021405794576459
 3.4 1.026142842504965
 3.5 1.029809597045379
 3.6 1.032480710970513
 3.7 1.034228356781407
 3.8 1.035121864449724
 3.9 1.035227459699014
 4 1.034608090016611
 4.1 1.033323325587817
 4.2 1.031429322877564
 4.3 1.028978839474852
 4.399999999999999 1.026021289919601
 4.5 1.022602833436273
 4.6 1.018766485718909
 4.7 1.01455224808985
 4.8 1.009997248449077
 4.9 1.005135889423174
 5 1.000000000000002
 5.1 0.9946189876973006
 5.2 0.9890199889652836
 5.3 0.9832280160716661
 5.4 0.9772660991739245
 5.5 0.9711554226580267
 5.6 0.9649154551265486
 5.7 0.9585640726617911
 5.8 0.9521176751815662
 5.9 0.945591295854175
 6 0.9389987036529891
 6.1 0.9323524992163219
 6.2 0.9256642042393148
 6.3 0.9189443446681982
 6.4 0.9122025279944667
 6.5 0.9054475149639857
 6.6 0.8986872860218165
 6.7 0.8919291028155396
 6.8 0.8851795650735461
 6.9 0.8784446631670995
 7 0.8717298266532455
 7.1 0.8650399690821414
 7.2 0.8583795293385658
 7.3 0.8517525097720323
 7.4 0.8451625113547764
 7.5 0.8386127660917213
 7.6 0.8321061668918937
 7.7 0.8256452950962666
 7.8 0.8192324458431227
 7.9 0.8128696514394119
 8 0.8065587028936141
 8.1 0.8003011697542191
 8.199999999999999 0.7940984183872712
 8.300000000000001 0.7879516288154087
 8.4 0.7818618102324451
 8.5 0.7758298152973466
 8.6 0.7698563533046286
 8.699999999999999 0.7639420023194112
 8.800000000000001 0.7580872203588976
 8.9 0.7522923556957939
 9 0.7465576563525522
 9.1 0.7408832788501873
 9.199999999999999 0.7352692962704671
 9.300000000000001 0.7297157056850274
 9.4 0.7242224350013677
 9.5 0.7187893492712687
 9.6 0.7134162565033348
 9.700000000000001 0.7081029130190746
 9.800000000000001 0.7028490283869765
 9.9 0.6976542699683419
 10 0.6925182671045789


