# Created by Octave 4.0.3, Tue Aug 01 15:52:49 2017 CEST <timo@timo-Lenovo-ideapad-100-14IBY>
# name: EW
# type: matrix
# rows: 40000
# columns: 2
 40000 -0.0002999999636873564
 40000.25000625016 -0.0002999981095346438
 40000.50001250031 -0.0002999962690699173
 40000.75001875047 -0.0002999944019972504
 40001.00002500063 -0.0002999924494897656
 40001.25003125078 -0.0002999906324348296
 40001.50003750094 -0.0002999887584644019
 40001.7500437511 -0.0002999868620776669
 40002.00005000125 -0.0002999849822975973
 40002.2500562514 -0.0002999831335905676
 40002.50006250156 -0.0002999812536686297
 40002.75006875172 -0.0002999793666234576
 40003.00007500187 -0.0002999775899222195
 40003.25008125203 -0.0002999756248388249
 40003.50008750219 -0.0002999737571371952
 40003.75009375234 -0.0002999718926730566
 40004.0001000025 -0.0002999700041925862
 40004.25010625266 -0.0002999681097215556
 40004.50011250281 -0.0002999661884682953
 40004.75011875297 -0.0002999643802379512
 40005.00012500313 -0.0002999625252489004
 40005.25013125328 -0.0002999606196141453
 40005.50013750344 -0.0002999587834793873
 40005.75014375359 -0.0002999568583561711
 40006.00015000375 -0.0002999549760716036
 40006.2501562539 -0.0002999531203666519
 40006.50016250406 -0.0002999512362293899
 40006.75016875422 -0.0002999493736993921
 40007.00017500437 -0.0002999475016630003
 40007.25018125453 -0.0002999456556835438
 40007.50018750469 -0.0002999438188555695
 40007.75019375484 -0.0002999418671053071
 40008.000200005 -0.0002999399912368972
 40008.25020625516 -0.0002999380812980235
 40008.50021250531 -0.0002999362623086199
 40008.75021875547 -0.0002999343851115555
 40009.00022500563 -0.0002999325102452321
 40009.25023125578 -0.0002999306424804894
 40009.50023750594 -0.0002999287771280851
 40009.75024375609 -0.0002999268754849631
 40010.00025000625 -0.0002999250116717596
 40010.2502562564 -0.0002999231509052229
 40010.50026250656 -0.0002999212524431719
 40010.75026875672 -0.0002999194148287643
 40011.00027500687 -0.0002999175092650688
 40011.25028125703 -0.0002999156127289331
 40011.50028750719 -0.0002999137806845524
 40011.75029375734 -0.0002999119017291547
 40012.0003000075 -0.0002999100682395496
 40012.25030625766 -0.000299908130543425
 40012.50031250781 -0.000299906254566961
 40012.75031875797 -0.0002999043827003334
 40013.00032500813 -0.0002999025529368851
 40013.25033125828 -0.0002999006442822176
 40013.50033750843 -0.0002998988052437392
 40013.75034375859 -0.0002998968766448399
 40014.00035000875 -0.0002998950661536893
 40014.2503562589 -0.0002998931391943261
 40014.50036250906 -0.0002998913259943947
 40014.75036875922 -0.0002998894096180493
 40015.00037500937 -0.000299887512540007
 40015.25038125953 -0.000299885693010589
 40015.50038750969 -0.000299883776392786
 40015.75039375984 -0.0002998819354065462
 40016.00040001 -0.0002998800699458977
 40016.25040626016 -0.0002998781856149435
 40016.50041251032 -0.0002998763229697943
 40016.75041876047 -0.0002998744312584663
 40017.00042501063 -0.0002998725467477925
 40017.25043126078 -0.0002998706334054905
 40017.50043751093 -0.0002998687976436782
 40017.75044376109 -0.000299866914719634
 40018.00045001125 -0.0002998651017494071
 40018.2504562614 -0.0002998631685962122
 40018.50046251156 -0.0002998613090312574
 40018.75046876172 -0.0002998594578167356
 40019.00047501188 -0.0002998575532200453
 40019.25048126203 -0.0002998556533882586
 40019.50048751219 -0.000299853802978661
 40019.75049376235 -0.0002998518875843509
 40020.0005000125 -0.0002998500312969554
 40020.25050626266 -0.0002998482159455307
 40020.50051251282 -0.0002998463096446358
 40020.75051876297 -0.0002998445197590627
 40021.00052501313 -0.0002998425622320391
 40021.25053126328 -0.0002998407288927964
 40021.50053751344 -0.0002998388146320383
 40021.75054376359 -0.0002998369236593135
 40022.00055001375 -0.000299835091276267
 40022.25055626391 -0.0002998331981135201
 40022.50056251406 -0.0002998313887145833
 40022.75056876422 -0.0002998294658027589
 40023.00057501438 -0.0002998275677159202
 40023.25058126453 -0.0002998256981002309
 40023.50058751469 -0.0002998238676243566
 40023.75059376485 -0.0002998219603116196
 40024.000600015 -0.0002998201227344516
 40024.25060626516 -0.0002998182681039907
 40024.50061251532 -0.000299816358165117
 40024.75061876547 -0.0002998144404049546
 40025.00062501562 -0.0002998125590982904
 40025.25063126578 -0.0002998107870558906
 40025.50063751594 -0.0002998088533491322
 40025.75064376609 -0.0002998069615217024
 40026.00065001625 -0.0002998051679129062
 40026.25065626641 -0.0002998032581535829
 40026.50066251656 -0.000299801366697539
 40026.75066876672 -0.0002997994746163444
 40027.00067501688 -0.0002997975984170719
 40027.25068126703 -0.0002997957262876037
 40027.50068751719 -0.0002997939281016768
 40027.75069376735 -0.0002997920311495336
 40028.0007000175 -0.0002997901610797271
 40028.25070626766 -0.0002997882563151703
 40028.50071251782 -0.0002997864198449389
 40028.75071876797 -0.0002997845329564074
 40029.00072501812 -0.0002997826621697958
 40029.25073126828 -0.0002997807459994719
 40029.50073751844 -0.0002997789197252132
 40029.75074376859 -0.0002997770719698209
 40030.00075001875 -0.000299775160674016
 40030.25075626891 -0.0002997733208758291
 40030.50076251906 -0.0002997713828421258
 40030.75076876922 -0.0002997695042168684
 40031.00077501938 -0.000299767645714255
 40031.25078126953 -0.0002997658084495924
 40031.50078751969 -0.0002997639454278827
 40031.75079376985 -0.0002997620459073086
 40032.00080002 -0.0002997602427827047
 40032.25080627016 -0.0002997582801693777
 40032.50081252031 -0.0002997564040172531
 40032.75081877047 -0.0002997545422758862
 40033.00082502062 -0.0002997526763715477
 40033.25083127078 -0.0002997508292814693
 40033.50083752094 -0.000299748958924101
 40033.75084377109 -0.0002997470802466132
 40034.00085002125 -0.0002997451833930007
 40034.25085627141 -0.000299743318464607
 40034.50086252156 -0.000299741446023745
 40034.75086877172 -0.000299739627502423
 40035.00087502188 -0.0002997377406686549
 40035.25088127203 -0.0002997358418019211
 40035.50088752219 -0.0002997339520193103
 40035.75089377235 -0.0002997320959359315
 40036.0009000225 -0.0002997302724141525
 40036.25090627266 -0.0002997283473896091
 40036.50091252281 -0.0002997265000885818
 40036.75091877297 -0.0002997245975469429
 40037.00092502312 -0.0002997227139954283
 40037.25093127328 -0.0002997208503556929
 40037.50093752344 -0.0002997189985762816
 40037.75094377359 -0.0002997171480389117
 40038.00095002375 -0.0002997152481329393
 40038.25095627391 -0.0002997133993325651
 40038.50096252406 -0.0002997115020449674
 40038.75096877422 -0.0002997096676079488
 40039.00097502438 -0.0002997077624513934
 40039.25098127453 -0.000299705918241115
 40039.50098752469 -0.0002997040464833844
 40039.75099377485 -0.0002997021272947047
 40040.001000025 -0.0002997002670180511
 40040.25100627515 -0.0002996984133583105
 40040.50101252531 -0.0002996965202850756
 40040.75101877547 -0.0002996947040580678
 40041.00102502562 -0.0002996927833009977
 40041.25103127578 -0.0002996909388457425
 40041.50103752594 -0.0002996890806095328
 40041.75104377609 -0.0002996872211402982
 40042.00105002625 -0.0002996853437483284
 40042.25105627641 -0.0002996834446093999
 40042.50106252656 -0.000299681538308505
 40042.75106877672 -0.0002996797011292074
 40043.00107502688 -0.0002996778384840582
 40043.25108127703 -0.0002996759900336036
 40043.50108752719 -0.0002996740780683041
 40043.75109377735 -0.0002996722484028699
 40044.0011000275 -0.0002996703701434558
 40044.25110627765 -0.0002996685041388342
 40044.50111252781 -0.0002996666153194383
 40044.75111877797 -0.0002996647165608996
 40045.00112502812 -0.0002996628168947593
 40045.25113127828 -0.0002996609692836209
 40045.50113752844 -0.0002996591320574503
 40045.75114377859 -0.0002996572178236133
 40046.00115002875 -0.0002996553821761405
 40046.25115627891 -0.0002996535120694352
 40046.50116252906 -0.0002996516103056168
 40046.75116877922 -0.0002996497776806645
 40047.00117502938 -0.0002996478783892457
 40047.25118127953 -0.0002996459837163822
 40047.50118752969 -0.0002996441183157897
 40047.75119377985 -0.0002996422528874094
